City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Date
152,Aswan,EG,24.0934,32.907,74.75,30,2,7.63,clear sky,2021-12-04 08:24:41
153,Mazagao,BR,-0.115,-51.2894,77.05,93,100,3.06,light rain,2021-12-04 08:24:41
154,Laguna,US,38.421,-121.4238,52.61,96,90,4.61,fog,2021-12-04 08:24:42
155,Kargasok,RU,59.0556,80.8572,23.49,81,96,14.12,overcast clouds,2021-12-04 08:24:42
156,Marrakesh,MA,31.6315,-8.0083,41.07,87,0,4.61,clear sky,2021-12-04 08:24:42
157,Emba,KZ,48.8264,58.1442,34.74,82,100,6.35,overcast clouds,2021-12-04 08:24:43
158,Urumqi,CN,43.801,87.6005,23.95,63,93,2.24,smoke,2021-12-04 08:24:43
159,Kurdzhinovo,RU,43.9884,40.9552,51.67,46,35,2.59,scattered clouds,2021-12-04 08:24:43
160,Jaicos,BR,-7.3592,-41.1378,73.74,81,86,3.33,light rain,2021-12-04 08:24:44
161,Mormugao,IN,15.4,73.8,83.46,74,75,5.75,broken clouds,2021-12-04 08:24:44
162,Cape Canaveral,US,28.4058,-80.6048,59.0,91,1,4.61,clear sky,2021-12-04 08:24:44
163,Klaksvik,FO,62.2266,-6.589,34.72,75,90,10.51,light rain,2021-12-04 08:24:45
164,Bonavista,CA,48.6499,-53.1147,40.12,70,89,30.96,overcast clouds,2021-12-04 08:24:45
165,Rio Gallegos,AR,-51.6226,-69.2181,48.25,66,0,6.91,clear sky,2021-12-04 08:24:45
166,Sechura,PE,-5.5569,-80.8222,64.89,87,100,8.48,overcast clouds,2021-12-04 08:24:46
167,Usinsk,RU,65.9939,57.5281,-16.73,100,77,8.39,broken clouds,2021-12-04 08:24:14
168,Tobermory,CA,45.2501,-81.6665,33.31,77,100,26.19,light snow,2021-12-04 08:24:46
169,Port Shepstone,ZA,-30.7414,30.455,71.4,78,100,5.28,light rain,2021-12-04 08:24:46
170,Ust-Shonosha,RU,61.1531,41.343,7.18,93,100,13.82,snow,2021-12-04 08:24:47
