City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
599,Axim,GH,83.34,overcast clouds,4.8699,-2.2405,Axim Beach Resort And Spa
602,Karanja,IN,83.16,clear sky,20.4833,77.4833,Gurukrupa Hotel and Restaurant
608,Bonthe,SL,83.12,broken clouds,7.5264,-12.505,Bonthe Holiday Village
610,Biltine,TD,87.89,clear sky,14.5333,20.9167,Hôtel Trois Étoiles de Biltine
611,Kralendijk,BQ,78.78,scattered clouds,12.15,-68.2667,Divi Flamingo Beach Resort & Casino
624,Dzaoudzi,YT,85.89,broken clouds,-12.7887,45.2699,Le Rocher
625,Kismayo,SO,85.71,scattered clouds,-0.3582,42.5454,Agan-Hotel
629,Farafangana,MG,83.71,scattered clouds,-22.8167,47.8333,Miarina
630,Kannur,IN,84.67,scattered clouds,11.8675,75.3576,Asokam Beach Resort and Ayurveda Chikitsa Kendram
633,Napasar,IN,77.65,clear sky,27.9667,73.55,Laxmi Palace
640,Mpika,ZM,86.27,clear sky,-11.8343,31.4529,Melodies Lodge
641,Doha,QA,75.18,clear sky,25.2867,51.5333,Movenpick Hotel Doha
642,Serenje,ZM,88.84,clear sky,-13.2325,30.2352,The Kabaso's
646,Demba,CD,86.36,overcast clouds,-5.51,22.2667,Guest House Du Cinquantenaire
650,Sinnamary,GF,76.6,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
652,Bilma,NE,77.56,broken clouds,18.6853,12.9164,Expeditions Ténére voyages
667,Narayanpet,IN,85.15,broken clouds,16.7333,77.5,Hasaan qureshi
668,Betul,IN,80.89,clear sky,21.9153,77.8961,STARiHotel Betul MP
673,Saint-Joseph,RE,87.1,few clouds,-21.3667,55.6167,"""Plantation Bed and Breakfast"
674,Soubre,CI,81.32,overcast clouds,5.7856,-6.6083,Lynd Hotels Soubre
675,Ugoofaaru,MV,82.67,few clouds,5.6667,73.0,Ungoofaaru Inn
684,Port Blair,IN,81.25,few clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
