City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
118,Bambous Virieux,MU,2021-11-28 04:04:45,-20.3428,57.7575,78.48,67,0,10.31
119,Kindia,GN,2021-11-28 04:05:35,10.0569,-12.8658,68.99,86,99,1.25
120,San Andres,CO,2021-11-28 04:05:36,12.5847,-81.7006,82.42,78,40,12.66
121,Sao Jose Da Coroa Grande,BR,2021-11-28 04:05:36,-8.8978,-35.1478,80.06,69,100,10.71
122,Praia Da Vitoria,PT,2021-11-28 04:05:36,38.7333,-27.0667,59.86,67,96,6.49
123,Laukaa,RU,2021-11-28 04:05:37,58.7372,29.8453,26.02,95,100,7.61
124,Ponta Do Sol,PT,2021-11-28 04:05:37,32.6667,-17.1,63.23,77,37,6.02
125,Omboue,GA,2021-11-28 04:02:21,-1.5746,9.2618,75.9,89,100,2.39
126,Brovst,DK,2021-11-28 04:05:38,57.0956,9.528,35.53,100,90,5.75
127,Khipro,PK,2021-11-28 04:05:38,25.8285,69.3772,76.71,20,17,6.8
128,Eyl,SO,2021-11-28 03:57:26,7.9803,49.8164,78.78,74,54,13.58
129,La Ciotat,FR,2021-11-28 04:05:39,43.1748,5.6045,42.67,65,10,23.13
130,Vardo,NO,2021-11-28 04:05:39,70.3705,31.1107,23.32,79,32,12.84
131,Meulaboh,ID,2021-11-28 03:59:51,4.1363,96.1285,80.71,84,89,11.9
132,Barmer,IN,2021-11-28 04:05:39,25.75,71.3833,75.92,24,4,4.9
133,Qaanaaq,GL,2021-11-28 04:02:33,77.484,-69.3632,-2.72,97,99,2.42
134,Jutai,BR,2021-11-28 04:05:40,-5.1833,-68.9,74.03,96,99,2.66
135,Victoria,HK,2021-11-28 04:01:30,22.2855,114.1577,73.45,47,70,5.82
136,Savannah Bight,HN,2021-11-28 04:06:40,16.45,-85.85,80.02,57,96,4.5
137,Lagoa,PT,2021-11-28 04:02:37,39.05,-27.9833,61.21,60,96,7.7
